frequency,raw
261.426483,98.019
263.320862,98.006
265.229004,97.988
267.15097,97.966
269.086853,97.94
271.036774,97.909
273.000824,97.873
274.979095,97.836
276.97171,97.8
278.97876,97.761
281.000336,97.721
283.036591,97.682
285.087585,97.644
287.153442,97.602
289.234283,97.557
291.3302,97.519
293.441284,97.486
295.567688,97.442
297.709503,97.385
299.866821,97.327
302.039795,97.274
304.228485,97.22
306.433044,97.156
308.653595,97.085
310.890228,97.007
313.143066,96.922
315.412231,96.839
317.697845,96.762
320,96.69
322.318848,96.621
324.65451,96.557
327.00708,96.501
329.376709,96.448
331.763519,96.395
334.167603,96.341
336.589142,96.284
339.028198,96.227
341.484924,96.169
343.959473,96.102
346.451935,96.024
348.962463,95.935
351.491211,95.832
354.038239,95.722
356.60376,95.636
359.187866,95.588
361.79068,95.569
364.412354,95.573
367.05304,95.591
369.71286,95.603
372.391968,95.608
375.090454,95.605
377.808533,95.583
380.546265,95.545
383.303864,95.501
386.081451,95.451
388.87915,95.392
391.697144,95.322
394.535522,95.247
397.394501,95.168
400.27417,95.089
403.174744,95.018
406.096313,94.957
409.039062,94.9
412.003113,94.828
414.988647,94.752
417.99585,94.694
421.024811,94.635
424.075714,94.579
427.148743,94.534
430.244049,94.484
433.361786,94.423
436.502106,94.356
439.665161,94.278
442.851166,94.181
446.060242,94.068
449.292572,93.933
452.54834,93.791
455.827698,93.645
459.130798,93.481
462.457855,93.359
465.809021,93.282
469.184448,93.268
472.584381,93.327
476.008911,93.397
479.458252,93.47
482.932617,93.519
486.432159,93.554
489.957031,93.558
493.507477,93.546
497.083618,93.532
500.685699,93.5
504.313873,93.472
507.968323,93.444
511.649292,93.49
515.356934,93.517
519.09137,93.457
522.852966,93.356
526.641724,93.227
530.458008,93.082
534.301941,92.946
538.173706,92.818
542.073547,92.675
546.001648,92.541
549.958191,92.417
553.94342,92.274
557.95752,92.138
562.000671,91.988
566.073181,91.851
570.175171,91.721
574.306885,91.533
578.468567,91.402
582.6604,91.289
586.882568,91.179
591.135376,91.093
595.419006,91.001
599.733643,90.907
604.07959,90.846
608.45697,90.779
612.866089,90.722
617.30719,90.65
621.780457,90.58
626.286133,90.56
630.824463,90.531
635.395691,90.508
640,90.452
644.637695,90.365
649.309021,90.307
654.01416,90.259
658.753418,90.26
663.527039,90.258
668.335205,90.213
673.178284,90.295
678.056396,90.342
682.969849,90.356
687.918945,90.373
692.90387,90.396
697.924927,90.367
702.982422,90.333
708.076477,90.373
713.20752,90.407
718.375732,90.46
723.58136,90.49
728.824707,90.559
734.106079,90.668
739.42572,90.714
744.783936,90.786
750.180908,90.953
755.617065,91.103
761.092529,91.23
766.607727,91.3
772.162903,91.496
777.758301,91.61
783.394287,91.756
789.071045,91.967
794.789001,92.23
800.54834,92.479
806.349487,92.716
812.192627,92.987
818.078125,93.252
824.006226,93.506
829.977295,93.701
835.991699,93.824
842.049622,93.791
848.151428,93.595
854.297485,93.225
860.488098,92.71
866.723572,92.27
873.004211,91.961
879.330322,91.817
885.702332,91.793
892.120483,91.862
898.585144,91.935
905.09668,92.115
911.655396,92.183
918.261597,92.447
924.91571,92.621
931.618042,92.762
938.368896,92.948
945.168762,93.017
952.017822,93.187
958.916504,93.324
965.865234,93.472
972.864319,93.558
979.914062,93.676
987.014954,93.79
994.167236,93.946
1001.371399,94.054
1008.627747,94.204
1015.936646,94.311
1023.298584,94.463
1030.713867,94.6
1038.182739,94.763
1045.705933,94.976
1053.283447,95.095
1060.916016,95.291
1068.603882,95.421
1076.347412,95.601
1084.147095,95.779
1092.003296,95.889
1099.916382,95.933
1107.886841,96.087
1115.915039,96.146
1124.001343,96.259
1132.146362,96.321
1140.350342,96.389
1148.61377,96.461
1156.937134,96.517
1165.320801,96.56
1173.765137,96.666
1182.270752,96.716
1190.838013,96.77
1199.467285,96.761
1208.15918,96.76
1216.91394,96.827
1225.732178,96.833
1234.61438,96.812
1243.560913,96.805
1252.572266,96.795
1261.648926,96.804
1270.791382,96.771
1280,96.761
1289.275391,96.73
1298.618042,96.71
1308.02832,96.693
1317.506836,96.667
1327.054077,96.647
1336.67041,96.614
1346.356567,96.607
1356.112793,96.601
1365.939697,96.643
1375.837891,96.657
1385.807739,96.666
1395.849854,96.665
1405.964844,96.703
1416.152954,96.713
1426.415039,96.749
1436.751465,96.798
1447.16272,96.852
1457.649414,96.885
1468.212158,96.907
1478.85144,96.932
1489.567871,97.017
1500.361816,97.145
1511.234131,97.262
1522.185059,97.331
1533.215454,97.36
1544.325806,97.368
1555.516602,97.42
1566.788574,97.562
1578.14209,97.718
1589.578003,97.85
1601.09668,97.98
1612.698975,98.102
1624.385254,98.215
1636.15625,98.323
1648.012451,98.457
1659.95459,98.6
1671.983398,98.751
1684.099243,98.911
1696.302856,99.08
1708.594971,99.241
1720.976196,99.397
1733.447144,99.501
1746.008423,99.613
1758.660645,99.739
1771.404663,99.878
1784.240967,100.045
1797.170288,100.221
1810.193359,100.404
1823.310791,100.543
1836.523193,100.597
1849.831421,100.643
1863.236084,100.745
1876.737793,100.797
1890.337524,100.819
1904.035645,100.841
1917.833008,100.85
1931.730469,100.838
1945.728638,100.851
1959.828125,100.841
1974.029907,100.836
1988.334473,100.824
2002.742798,100.806
2017.255493,100.757
2031.873291,100.683
2046.597168,100.58
2061.427734,100.449
2076.365479,100.284
2091.411865,100.105
2106.566895,99.935
2121.832031,99.835
2137.207764,99.893
2152.694824,100.16
2168.294189,100.565
2184.006592,101.04
2199.832764,101.439
2215.773682,101.772
2231.830078,102.043
2248.002686,102.301
2264.292725,102.553
2280.700684,102.81
2297.227539,103.105
2313.874268,103.447
2330.641602,103.819
2347.530273,104.192
2364.541504,104.577
2381.676025,104.922
2398.93457,105.18
2416.318359,105.472
2433.827881,105.808
2451.464355,106.143
2469.22876,106.476
2487.121826,106.838
2505.144531,107.182
2523.297852,107.522
2541.582764,107.869
2560,108.225
2578.550781,108.595
2597.236084,108.966
2616.056641,109.34
2635.013672,109.685
2654.108154,110.012
2673.34082,110.319
2692.713135,110.591
2712.225586,110.791
2731.879395,110.88
2751.675781,110.843
2771.615479,110.735
2791.699707,110.556
2811.929688,110.108
2832.305908,109.472
2852.830078,109.259
2873.50293,109.418
2894.325439,109.41
2915.298828,109.183
2936.424316,108.849
2957.702881,108.414
2979.135742,107.706
3000.723633,106.865
3022.468262,106.398
3044.370117,106.177
3066.430908,105.995
3088.651611,106.382
3111.033203,106.916
3133.577148,107.156
3156.28418,107.14
3179.156006,107.103
3202.193359,107.114
3225.397949,107.043
3248.770508,106.864
3272.3125,106.621
3296.024902,106.39
3319.90918,106.144
3343.966797,105.815
3368.198486,105.503
3392.605713,105.266
3417.189941,105.073
3441.952393,104.861
3466.894287,104.655
3492.016846,104.479
3517.321289,104.281
3542.809326,104.084
3568.481934,103.937
3594.340576,103.767
3620.386719,103.558
3646.621582,103.298
3673.046387,103
3699.662842,102.69
3726.472168,102.381
3753.475586,102.077
3780.675049,101.8
3808.071289,101.551
3835.666016,101.343
3863.460938,101.159
3891.457275,100.976
3919.65625,100.748
3948.059814,100.484
3976.668945,100.166
4005.485596,99.824
4034.510986,99.517
4063.746582,99.254
4093.194336,99.038
4122.855469,98.8
4152.730957,98.496
4182.82373,98.12
4213.133789,97.76
4243.664062,97.434
4274.415527,97.117
4305.389648,96.785
4336.588379,96.482
4368.013184,96.224
4399.665527,96.064
4431.547363,95.968
4463.660156,95.875
4496.005371,95.765
4528.585449,95.682
4561.401367,95.692
4594.455078,95.829
4627.748535,95.994
4661.283203,96.066
4695.060547,96.091
4729.083008,96.079
4763.352051,96.079
4797.869141,96.089
4832.636719,96.043
4867.655762,95.856
4902.928711,95.763
4938.45752,95.811
4974.243652,96.02
5010.289062,96.423
5046.595703,97.08
5083.165527,97.974
5120,98.943
5157.101562,99.588
5194.472168,99.832
5232.113281,99.904
5270.027344,99.775
5308.216309,99.823
5346.681641,100.032
5385.42627,100.003
5424.451172,99.91
